0
BTC
ETH
SOL
ADA
XRP
DOT
DOGE
BNB
AVAX
LUNA
LTC
FIL
EOS
BCH
ATOM
LINK
FTT
TRX
UNI
AXS
USDT
ETC
ALGO
SUSHI
XTZ
AAVE
MATIC
XLM
ICP
FTM
DYDX
SRM
THETA
BSV
CRV
SXP
NEAR
RUNE
COMP
GRT
YFI
VET
EGLD
ZEC
OMG
KSM
RAY
ENJ
QTUM
ALICE
ALT
HBAR
IOTA
FLOW
1INCH
NEO
ONT
SAND
CHZ
SNX
CELR
COTI
C98
XMR
SHIB
1000SHIB
YFII
SHIT
TLM
DEFI
IOST
AGLD
MANA
TRU
DASH
ALPHA
GALA
MKR
AR
KAVA
ATLAS
BAT
ONE
BTT
WAVES
CAKE
ZEN
SKL
CHR
REN
HT
XEM
HNT
BAND
STORJ
BAKE
RSR
EXCH
POLIS
LRC
ICX
ZRX
BAL
DENT
TOMO
MID
ZIL
BADGER
REEF
GOLD
LINA
DODO
KNC
HOT
AUDIO
CVC
MASK
STEP
FLM
SLP
CREAM
LIT
UNFI
ANKR
SC
RVN
STMX
PERP
AKRO
BTCDOM
BLZ
BEL
MTL
IOTX
SFP
OGN
CTK
BZRX
TRB
ATA
CRO
UNISWAP
RLC
YGG
NKN
OCEAN
MNGO
PRIV
GTC
CSPR
XCH
MDX
BTS
KIN
KEEP
O3
PUNDIX
OKB
DGB
DRGN
BTM
ZKS
ROOK
1000XEC
OXY
STX
MINA
PHA
CLV
XAUT
PAXG
CFX
BNT
CEL
BAGS
TULIP
TRYB
MEDIA
ACH
MER
ASD
BASKET
WNCG
BZZ
HUM
JST
EDEN
LAT
UMA
LEO
FIDA
ANC
ALCX
AMPL
SWRV
ANT
MIR
MTA
MASS
WOO
BAO
CUSDT
